,open,high,low,close,adjclose,volume,ticker
2019-01-23,161.06187438964844,162.2073516845703,159.09698486328125,160.777587890625,123.04043579101562,1976868,MMM
2019-01-24,160.75250244140625,161.5133819580078,160.1254119873047,160.9698944091797,123.18757629394533,1893029,MMM
2019-01-25,162.8093719482422,164.84950256347656,162.59197998046875,163.79598999023438,125.35033416748048,2774840,MMM
2019-01-28,161.48829650878906,161.74749755859375,159.7575225830078,161.53846740722656,123.62269592285156,3775294,MMM
2019-01-29,163.0518341064453,167.13211059570312,162.3745880126953,164.67391967773438,126.02220153808594,5156076,MMM
2019-01-30,165.73577880859375,167.31605529785156,162.73411560058594,166.61370849609375,127.50667572021484,2593048,MMM
2019-01-31,166.22073364257812,167.96823120117188,165.33444213867188,167.47491455078125,128.16575622558594,3992726,MMM
2019-02-01,168.4698944091797,168.70401000976562,165.7943115234375,166.52174377441406,127.4363021850586,2678322,MMM
2019-02-04,166.3963165283203,167.44146728515625,164.088623046875,167.39967346191406,128.10818481445312,2360426,MMM
2019-02-05,167.82608032226562,168.1688995361328,166.99832153320312,168.16053771972656,128.6904754638672,2436132,MMM
2019-02-06,168.244140625,169.79933166503906,167.43310546875,169.37290954589844,129.61827087402344,2000190,MMM
2019-02-07,168.07691955566406,169.23077392578125,166.27090454101562,167.09030151367188,127.87142181396484,2331482,MMM
2019-02-08,166.5718994140625,167.09866333007812,165.46823120117188,167.07357788085938,127.85865020751952,1736353,MMM
2019-02-11,168.00167846679688,168.22743225097656,166.92308044433594,167.98495483398438,128.55609130859375,1810146,MMM
2019-02-12,169.62374877929688,172.90133666992188,169.05519104003906,172.71739196777344,132.17771911621094,3137108,MMM
2019-02-13,173.1521759033203,175.91973876953125,172.73411560058594,175.35116577148438,134.19329833984375,3548891,MMM
2019-02-14,172.73411560058594,173.17726135253906,170.61036682128906,171.34616088867188,132.21408081054688,2666721,MMM
2019-02-15,172.6254119873047,174.7240753173828,172.2407989501953,174.63211059570312,134.74961853027344,2392478,MMM
2019-02-19,173.83779907226562,174.8745880126953,173.40301513671875,174.255859375,134.4593048095703,1835142,MMM
2019-02-20,174.6906280517578,174.7240753173828,173.344482421875,174.35618591308594,134.53672790527344,2247404,MMM
2019-02-21,174.0468292236328,174.8411407470703,173.28594970703125,173.72073364257812,134.04635620117188,2078170,MMM
2019-02-22,173.72073364257812,175.30101013183594,173.2023468017578,175.04180908203125,135.06576538085938,1834903,MMM
2019-02-25,175.97825622558594,176.71405029296875,175.86956787109375,176.0702362060547,135.85926818847656,2611466,MMM
2019-02-26,176.0702362060547,176.9147186279297,175.05853271484375,175.06689453125,135.08509826660156,1998875,MMM
2019-02-27,175.25083923339844,175.32608032226562,174.0468292236328,174.7742462158203,134.85928344726562,1842558,MMM
2019-02-28,174.7909698486328,174.7909698486328,173.04347229003906,173.40301513671875,133.8011932373047,2537553,MMM
2019-03-01,174.59030151367188,175.38461303710938,172.99331665039062,173.4866180419922,133.86573791503906,2098262,MMM
2019-03-04,174.7407989501953,175.5685577392578,172.02340698242188,172.95986938476562,133.4592742919922,2379920,MMM
2019-03-05,171.88963317871094,173.28594970703125,170.43478393554688,170.43478393554688,131.51087951660156,3282422,MMM
2019-03-06,171.17892456054688,171.22909545898438,169.53176879882812,169.56521606445312,130.83990478515625,2183059,MMM
2019-03-07,169.3645477294922,169.3645477294922,165.9698944091797,167.10702514648438,128.94309997558594,3994162,MMM
2019-03-08,165.86956787109375,168.2023468017578,165.5518341064453,167.96823120117188,129.60763549804688,2062502,MMM
2019-03-11,168.79598999023438,173.21070861816406,168.61204528808594,173.16053771972656,133.61412048339844,2852819,MMM
2019-03-12,173.77926635742188,174.2391357421875,171.722412109375,172.07357788085938,132.77540588378906,2529660,MMM
2019-03-13,172.93478393554688,173.3277587890625,171.9314422607422,172.7926483154297,133.3302459716797,2435893,MMM
2019-03-14,172.82608032226562,173.4531707763672,172.01504516601562,173.3946533203125,133.79473876953125,2144906,MMM
2019-03-15,174.24749755859375,174.4648895263672,172.90133666992188,173.9799346923828,134.2463836669922,5256061,MMM
2019-03-18,174.2809295654297,174.4147186279297,171.9147186279297,174.32273864746094,134.51087951660156,2204946,MMM
2019-03-19,174.83277893066406,176.0367889404297,174.1722412109375,174.76588439941406,134.8528289794922,2812514,MMM
2019-03-20,174.74916076660156,176.01170349121094,173.31939697265625,174.16387939453125,134.3883056640625,2074582,MMM
2019-03-21,172.90969848632812,175.7190704345703,172.21571350097656,175.2592010498047,135.23350524902344,2736568,MMM
2019-03-22,174.155517578125,174.32273864746094,170.96153259277344,171.1204071044922,132.03988647460938,3248456,MMM
2019-03-25,170.11705017089844,171.7976531982422,169.1053466796875,169.90802001953125,131.10440063476562,2416638,MMM
2019-03-26,171.40467834472656,173.61204528808594,171.21237182617188,173.277587890625,133.7044677734375,2267138,MMM
2019-03-27,173.411376953125,173.8628692626953,171.5133819580078,173.21070861816406,133.65281677246094,2396784,MMM
2019-03-28,173.9130401611328,174.53176879882812,172.7759246826172,174.35618591308594,134.53672790527344,1998038,MMM
2019-03-29,174.99163818359375,175.16722106933594,172.40802001953125,173.72909545898438,134.05282592773438,3418527,MMM
2019-04-01,175.49331665039062,177.5836181640625,174.966552734375,177.2073516845703,136.73672485351562,3095726,MMM
2019-04-02,177.45819091796875,177.84280395507812,176.42140197753906,177.36622619628906,136.85928344726562,1690546,MMM
2019-04-03,178.0518341064453,178.87123107910156,177.6254119873047,178.2023468017578,137.50450134277344,1877720,MMM
2019-04-04,178.51170349121094,179.99163818359375,177.533447265625,179.7909698486328,138.7303009033203,1866836,MMM
2019-04-05,180.50167846679688,181.0117034912109,179.59866333007812,180.10870361328125,138.97544860839844,1663756,MMM
2019-04-08,179.52340698242188,179.8244171142578,178.4866180419922,179.78260803222656,138.72386169433594,1351480,MMM
2019-04-09,179.2809295654297,179.40635681152344,177.10702514648438,177.2240753173828,136.74960327148438,1813734,MMM
2019-04-10,177.60870361328125,177.85116577148438,176.18728637695312,177.34950256347656,136.84640502929688,1612926,MMM
2019-04-11,177.01504516601562,178.68728637695312,176.78929138183594,178.5367889404297,137.76254272460938,1412715,MMM
2019-04-12,179.84950256347656,181.8478240966797,179.222412109375,181.789291381836,140.27223205566406,2299190,MMM
2019-04-15,181.30435180664065,181.7391357421875,179.68228149414062,180.4598693847656,139.24642944335938,1774027,MMM
2019-04-16,181.09532165527344,181.99832153320312,180.167221069336,181.35450744628903,139.936767578125,1853322,MMM
2019-04-17,181.9648895263672,183.38629150390625,181.588623046875,181.97325134277344,140.4141845703125,2365210,MMM
2019-04-18,182.2575225830078,183.67056274414065,181.9565277099609,183.01004028320312,141.21421813964844,2129000,MMM
2019-04-22,181.68896484375,183.4448089599609,181.66387939453125,182.7257537841797,140.9948272705078,1678586,MMM
2019-04-23,182.28260803222656,183.5702362060547,181.588623046875,183.52842712402344,141.61419677734375,1867913,MMM
2019-04-24,183.11036682128903,183.73745727539065,182.3578643798828,183.17726135253903,141.34323120117188,2450484,MMM
2019-04-25,165.16722106933594,166.35450744628906,158.52842712402344,159.4648895263672,123.04630279541016,17516855,MMM
2019-04-26,159.30601501464844,160.744140625,158.3277587890625,160.2592010498047,123.6591796875,5371595,MMM
2019-04-29,160.13377380371094,160.69398498535156,158.65383911132812,159.03846740722656,122.7172622680664,4548866,MMM
2019-04-30,159.58193969726562,159.58193969726562,155.97825622558594,158.4531707763672,122.265625,5431036,MMM
2019-05-01,158.43646240234375,158.6204071044922,155.45150756835938,155.57691955566406,120.0462417602539,4566926,MMM
2019-05-02,154.26422119140625,155.93646240234375,153.3277587890625,154.47325134277344,119.19465637207033,6763260,MMM
2019-05-03,155.35952758789062,156.09532165527344,153.92140197753906,154.86622619628906,119.49787139892578,5678249,MMM
2019-05-06,152.2073516845703,153.1020050048828,150.61036682128906,153.04347229003906,118.09140014648438,7795050,MMM
2019-05-07,152.01504516601562,152.09030151367188,148.67056274414062,149.76588439941406,115.56232452392578,6477058,MMM
2019-05-08,150.09197998046875,150.94480895996094,149.24749755859375,149.32273864746094,115.22040557861328,3576638,MMM
2019-05-09,148.244140625,148.3277587890625,145.6354522705078,146.55519104003906,113.08490753173828,6097447,MMM
2019-05-10,146.33779907226562,147.43310546875,144.65719604492188,147.04013061523438,113.4590835571289,5994711,MMM
2019-05-13,145.43478393554688,145.9698944091797,144.47325134277344,145.54347229003906,112.3042449951172,7076373,MMM
2019-05-14,146.14549255371094,147.96823120117188,145.911376953125,146.4966583251953,113.03971862792967,4800744,MMM
2019-05-15,145.50167846679688,146.8645477294922,145.1923065185547,145.5852813720703,112.33650207519533,3606538,MMM
2019-05-16,145.81103515625,145.81103515625,143.277587890625,143.65383911132812,110.84616088867188,4831242,MMM
2019-05-17,142.14047241210938,142.3578643798828,140.8277587890625,141.3795928955078,109.09130096435548,5495620,MMM
2019-05-20,140.43478393554688,140.43478393554688,138.4698944091797,139.00502014160156,107.2590560913086,5232022,MMM
2019-05-21,139.64047241210938,139.9832763671875,138.9464874267578,139.88294982910156,107.93646240234376,4961247,MMM
2019-05-22,139.99163818359375,142.7759246826172,139.18060302734375,141.92308044433594,109.51066589355467,5387023,MMM
2019-05-23,140.11705017089844,140.7190704345703,137.61705017089844,138.68728637695312,108.1108169555664,4580919,MMM
2019-05-24,139.08026123046875,139.9832763671875,138.22743225097656,138.87123107910156,108.2541732788086,2830812,MMM
2019-05-28,139.4648895263672,139.62374877929688,136.58026123046875,136.58026123046875,106.4683074951172,5830620,MMM
2019-05-29,136.29598999023438,136.95652770996094,134.19732666015625,134.9498291015625,105.19733428955078,4388124,MMM
2019-05-30,134.9498291015625,135.67726135253906,133.77926635742188,134.26422119140625,104.66287994384766,2964525,MMM
2019-05-31,133.6371307373047,134.3979949951172,133.4698944091797,133.5702362060547,104.12191009521484,4212192,MMM
2019-06-03,133.5702362060547,135.033447265625,133.21070861816406,133.81271362304688,104.31092071533205,4456894,MMM
2019-06-04,135.2257537841797,138.0351104736328,135.10032653808594,137.36622619628906,107.0810089111328,4481173,MMM
2019-06-05,138.07691955566406,138.65383911132812,136.18728637695312,136.99832153320312,106.79418182373048,3781274,MMM
2019-06-06,137.12374877929688,139.088623046875,135.83612060546875,137.7257537841797,107.3612289428711,4283833,MMM
2019-06-07,138.4281005859375,139.7073516845703,137.6588592529297,139.30601501464844,108.5931167602539,2413169,MMM
2019-06-10,140.56019592285156,142.3244171142578,140.35952758789062,140.71070861816406,109.68811798095705,2700090,MMM
2019-06-11,142.06521606445312,142.44146728515625,140.88629150390625,141.22909545898438,110.09220123291016,2663731,MMM
2019-06-12,142.03176879882812,142.26588439941406,140.96153259277344,141.31271362304688,110.15740203857422,2591014,MMM
2019-06-13,141.6053466796875,142.05685424804688,140.35952758789062,141.17892456054688,110.05311584472656,2561234,MMM
2019-06-14,140.6688995361328,140.67726135253906,138.83779907226562,139.37290954589844,108.64527130126952,3252163,MMM
2019-06-17,139.71571350097656,139.99163818359375,139.18060302734375,139.4481658935547,108.70392608642578,2132827,MMM
2019-06-18,140.34280395507812,144.03846740722656,140.10870361328125,143.69564819335938,112.01498413085938,4333108,MMM
2019-06-19,143.71237182617188,144.48995971679688,142.59197998046875,142.76756286621094,111.29148864746094,3321770,MMM
2019-06-20,144.54013061523438,145.7190704345703,143.56187438964844,145.43478393554688,113.37065887451172,3664783,MMM
