,open,high,low,close,adjclose,volume,ticker
2018-12-03,46.1150016784668,46.23500061035156,45.3025016784668,46.20500183105469,44.23155212402344,163210000,AAPL
2018-12-04,45.23749923706055,45.59749984741211,44.067501068115234,44.17250061035156,42.285865783691406,165377200,AAPL
2018-12-06,42.93999862670898,43.69499969482422,42.60499954223633,43.68000030517578,41.81439971923828,172393600,AAPL
2018-12-07,43.372501373291016,43.622501373291016,42.07500076293945,42.122501373291016,40.32341384887695,169126400,AAPL
2018-12-10,41.25,42.522499084472656,40.83250045776367,42.400001525878906,40.58906173706055,248104000,AAPL
2018-12-11,42.915000915527344,42.9474983215332,41.75,42.157501220703125,40.35693740844727,189126800,AAPL
2018-12-12,42.59999847412109,42.97999954223633,42.255001068115234,42.275001525878906,40.46940612792969,142510800,AAPL
2018-12-13,42.622501373291016,43.14250183105469,42.38750076293945,42.73749923706055,40.91215515136719,127594400,AAPL
2018-12-14,42.25,42.27000045776367,41.31999969482422,41.369998931884766,39.6030502319336,162814800,AAPL
2018-12-17,41.36249923706055,42.087501525878906,40.682498931884766,40.98500061035156,39.234500885009766,177151600,AAPL
2018-12-18,41.345001220703125,41.88249969482422,41.09749984741211,41.51750183105469,39.7442626953125,135366000,AAPL
2018-12-19,41.5,41.86249923706055,39.772499084472656,40.22249984741211,38.50456619262695,196189200,AAPL
2018-12-20,40.09999847412109,40.52750015258789,38.82500076293945,39.20750045776367,37.53292083740234,259092000,AAPL
2018-12-21,39.21500015258789,39.540000915527344,37.407501220703125,37.682498931884766,36.073055267333984,382978400,AAPL
2018-12-24,37.03749847412109,37.88750076293945,36.647499084472656,36.70750045776367,35.13969039916992,148676800,AAPL
2018-12-26,37.07500076293945,39.307498931884766,36.68000030517578,39.29249954223633,37.6142807006836,234330000,AAPL
2018-12-27,38.959999084472656,39.192501068115234,37.51750183105469,39.03749847412109,37.37018203735352,212468400,AAPL
2018-12-28,39.375,39.630001068115234,38.63750076293945,39.057498931884766,37.38933181762695,169165600,AAPL
2018-12-31,39.63249969482422,39.84000015258789,39.119998931884766,39.435001373291016,37.75070190429688,140014000,AAPL
2019-01-02,38.72249984741211,39.712501525878906,38.557498931884766,39.47999954223633,37.79376983642578,148158800,AAPL
2019-01-03,35.994998931884766,36.43000030517578,35.5,35.54750061035156,34.029232025146484,365248800,AAPL
2019-01-04,36.13249969482422,37.13750076293945,35.95000076293945,37.06499862670898,35.4819221496582,234428400,AAPL
2019-01-07,37.17499923706055,37.20750045776367,36.47499847412109,36.98249816894531,35.4029541015625,219111200,AAPL
2019-01-08,37.38999938964844,37.95500183105469,37.130001068115234,37.6875,36.07783889770508,164101200,AAPL
2019-01-09,37.8224983215332,38.63249969482422,37.407501220703125,38.32749938964844,36.69050979614258,180396400,AAPL
2019-01-10,38.125,38.49250030517578,37.71500015258789,38.45000076293945,36.80776596069336,143122800,AAPL
2019-01-11,38.220001220703125,38.42499923706055,37.87749862670898,38.0724983215332,36.44639587402344,108092800,AAPL
